--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
070.987  001.017  000.023: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
070.994  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
071.004  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
073.223  000.061  000.061: require('nvim-treesitter.locals')
073.229  000.129  000.068: require('nvim-treesitter-refactor.navigation')
073.297  000.042  000.042: require('nvim-treesitter-refactor.smart_rename')
073.408  000.056  000.056: require('nvim-treesitter.indent')
073.570  000.049  000.049: require('nvim-treesitter.highlight')
073.775  000.058  000.058: require('nvim-treesitter.incremental_selection')
074.297  000.030  000.030: require('textcase.shared.constants')
074.301  000.076  000.046: require('textcase.shared.utils')
074.361  000.033  000.033: require('utils.lsp.methods')
074.363  000.060  000.027: require('textcase.plugin.conversion')
074.367  000.189  000.054: require('strings.repeat.methods')
074.484  000.049  000.049: require('strings.coerce.methods')
074.486  000.078  000.028: require('textcase.conversions.stringcase')
074.488  000.121  000.043: require('strings.substitute.methods')
074.517  000.370  000.061: require('textcase.plugin.plugin')
074.548  000.030  000.030: require('textcase.extensions.sniplua')
074.640  000.031  000.031: require('strings.coerce.api')
074.641  000.058  000.027: require('textcase.plugin.api')
074.668  000.026  000.026: require('textcase.extensions.whichkey')
074.671  000.121  000.037: require('textcase.plugin.presets')
074.674  000.785  000.264: require('textcase')
074.720  000.845  000.060: sourcing /home/freja/.local/share/nvim/lazy/text-case.nvim/plugin/start.vim
074.724  000.872  000.027: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
074.731  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
074.740  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
076.985  000.008  000.008: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
076.997  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
077.551  000.250  000.250: require('img-clip.debug')
077.618  000.063  000.063: require('img-clip.config')
077.701  000.043  000.043: require('img-clip.mime_types')
077.704  000.085  000.042: require('img-clip.util')
077.805  000.034  000.034: require('img-clip.clipboard')
077.875  000.036  000.036: require('img-clip.fs')
077.877  000.071  000.035: require('img-clip.markup')
077.881  000.146  000.041: require('img-clip.paste')
077.915  000.209  000.064: require('img-clip')
077.928  000.671  000.064: sourcing /home/freja/.local/share/nvim/lazy/img-clip.nvim/plugin/img-clip.lua
077.932  000.699  000.028: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
077.939  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
077.947  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
078.309  000.035  000.035: sourcing /home/freja/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
078.313  000.060  000.025: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
078.318  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
078.325  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
078.333  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
078.338  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
079.065  000.003  000.003: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
079.073  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
